acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Scydmaenus perrisii	Rtt., 1881	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19045	21773	NA	NA	NA	38090	0a	species	NA	accepted	51077	2015-04-29	NA	NA	45974	Animalia	NA	species	4435437	Scydmaenus perrisi (Reitter, 1879)	Scydmaenus perrisi	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Scydmaenus	1	54	216	1470	7854	4404474	FALSE	Insecta	NA	Scydmaenus perrisi	4435437
Oiceoptoma thoracica	(Linnaeus, 1758)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19067	21795	NA	NA	NA	38097	0a	species	NA	accepted	51084	2015-04-29	NA	NA	45974	Animalia	NA	species	4448343	Oiceoptoma thoracicum (Linnaeus, 1758)	Oiceoptoma thoracicum	SPECIES	Animalia	Arthropoda	Coleoptera	Silphidae	Oiceoptoma	1	54	216	1470	4762	4448340	FALSE	Insecta	NA	Oiceoptoma thoracicum	4448343
Silvanus unidentatus	(Fabricius, 1792)	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	19080	21808	NA	NA	NA	38106	0a	species	NA	accepted	51093	2015-04-29	NA	NA	45974	Animalia	NA	species	1043938	Silvanus unidentatus (Olivier, 1790)	Silvanus unidentatus	SPECIES	Animalia	Arthropoda	Coleoptera	Silvanidae	Silvanus	1	54	216	1470	7850	1043794	FALSE	Insecta	NA	Silvanus unidentatus	1043938
Carpelimus subtilicornis	(Roub., 1946)	NA	NONE	100	NA	19352	22079	NA	NA	NA	38150	0a	species	NA	accepted	51138	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Dexiogya corticina	(Er., 1837)	NA	NONE	100	NA	19380	22107	NA	NA	NA	38167	0a	species	NA	accepted	51155	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Halobrecta puncticeps	(Thoms., 1852)	NA	NONE	99	NA	19465	22192	NA	NA	NA	38196	0a	species	NA	accepted	51184	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Lathrobium quadratum	(Payk., 1789)	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	19510	22236	NA	NA	NA	38212	0a	species	NA	accepted	51200	2015-04-29	NA	NA	45974	Animalia	NA	species	6097651	Lathrobium quadratus (Paykull, 1789)	Lathrobium quadratus	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Tetartopeus	1	54	216	1470	7854	4404541	TRUE	Insecta	4439094	Tetartopeus quadratus	4439094
Lathrobium rufonitidum	Rtt., 1909	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	19512	22238	NA	NA	NA	38212	0a	species	NA	accepted	51200	2015-04-29	NA	NA	45974	Animalia	NA	species	4439111	Lathrobium rufonitidus Reitter, 1909	Lathrobium rufonitidus	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Tetartopeus	1	54	216	1470	7854	4404541	TRUE	Insecta	4439110	Tetartopeus rufonitidus	4439110
Lathrobium terminatum	Grav., 1802	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	19513	22239	NA	NA	NA	38212	0a	species	NA	accepted	51200	2015-04-29	NA	NA	45974	Animalia	NA	species	4439105	Lathrobium terminatus Gravenhorst, 1802	Lathrobium terminatus	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Tetartopeus	1	54	216	1470	7854	4404541	TRUE	Insecta	4439101	Tetartopeus terminatus	4439101
Lomechusa emarginatus	(Payk., 1789)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19537	22263	NA	NA	NA	38217	0a	species	NA	accepted	51206	2015-04-29	NA	NA	45974	Animalia	NA	species	7630191	Lomechusa emarginata (Paykull, 1789)	Lomechusa emarginata	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Lomechusa	1	54	216	1470	7854	4714105	FALSE	Insecta	NA	Lomechusa emarginata	7630191
Lomechusa paradoxus	(Grav., 1806)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19538	22264	NA	NA	NA	38217	0a	species	NA	accepted	51206	2015-04-29	NA	NA	45974	Animalia	NA	species	7869306	Lomechusa paradoxa Gravenhorst, 1806	Lomechusa paradoxa	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Lomechusa	1	54	216	1470	7854	4714105	FALSE	Insecta	NA	Lomechusa paradoxa	7869306
Mycetoporus punctus	(Gyll., 1810)	NA	EXACT_WITHOUT_AUTHOR	100	SYNONYM	19583	22309	NA	NA	NA	38229	0a	species	NA	accepted	51218	2015-04-29	NA	NA	45974	Animalia	NA	species	4438523	Mycetoporus punctus (Gravenhorst, 1806)	Mycetoporus punctus	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Tachinus	1	54	216	1470	7854	9174844	TRUE	Insecta	5746348	Tachinus punctus	5746348
